quarter,department,earnings,employees,sales,expenses,profit_margin
Q1-2024,Sales,125000,45,180000,55000,0.389
Q1-2024,Marketing,85000,32,120000,35000,0.417
Q1-2024,Engineering,95000,28,140000,45000,0.357
Q2-2024,Sales,138000,48,195000,57000,0.415
Q2-2024,Marketing,92000,35,135000,43000,0.363
Q2-2024,Engineering,102000,30,155000,53000,0.342
Q3-2024,Sales,152000,50,210000,58000,0.448
Q3-2024,Marketing,98000,38,145000,47000,0.352
Q3-2024,Engineering,108000,32,165000,57000,0.327
Q4-2024,Sales,165000,52,225000,60000,0.467
Q4-2024,Marketing,105000,40,160000,55000,0.344
Q4-2024,Engineering,115000,35,175000,60000,0.314 
